bond_code,currency_type,tenor,issuance_name,outstanding_volume,interest_payment_method,interest_payment_type,coupon_rate,remaining_tenor,status,face_value,duration,issuance_day,issuance_month,issuance_year,maturity_day,maturity_month,maturity_year
BVBS15040,VND,3 Năm,Ngân hàng Chính sách Xã hội,4000000,Định kỳ - Cuối kỳ,Standard Coupon,6.2,6 ngày,Hủy niêm yết,100000,3.002739726,12,8,2015,12,8,2018
BVBS15050,VND,3 Năm,Ngân hàng Chính sách Xã hội,1000000,Định kỳ - Cuối kỳ,Standard Coupon,6.7,5 ngày,Hủy niêm yết,100000,3.002739726,20,10,2015,20,10,2018
BVBS15051,VND,3 Năm,Ngân hàng Chính sách Xã hội,6000000,Định kỳ - Cuối kỳ,Standard Coupon,6.6,5 ngày,Hủy niêm yết,100000,3.002739726,27,10,2015,27,10,2018
BVBS15052,VND,3 Năm,Ngân hàng Chính sách Xã hội,10000000,Định kỳ - Cuối kỳ,Standard Coupon,6.5,5 ngày,Hủy niêm yết,100000,3.002739726,3,11,2015,3,11,2018
BVBS15053,VND,3 Năm,Ngân hàng Chính sách Xã hội,4000000,Định kỳ - Cuối kỳ,Standard Coupon,6.3,5 ngày,Hủy niêm yết,100000,3.002739726,10,11,2015,10,11,2018
BVBS15054,VND,3 Năm,Ngân hàng Chính sách Xã hội,5000000,Định kỳ - Cuối kỳ,Standard Coupon,6.3,5 ngày,Hủy niêm yết,100000,3.002739726,17,11,2015,17,11,2018
BVBS15056,VND,3 Năm,Ngân hàng Chính sách Xã hội,5000000,Định kỳ - Cuối kỳ,Standard Coupon,6.3,5 ngày,Hủy niêm yết,100000,3.002739726,1,12,2015,1,12,2018
BVBS15057,VND,3 Năm,Ngân hàng Chính sách Xã hội,2000000,Định kỳ - Cuối kỳ,Standard Coupon,6.3,5 ngày,Hủy niêm yết,100000,3.002739726,8,12,2015,8,12,2018
BVBS15058,VND,3 Năm,Ngân hàng Chính sách Xã hội,3000000,Định kỳ - Cuối kỳ,Standard Coupon,6.4,5 ngày,Hủy niêm yết,100000,3.002739726,15,12,2015,15,12,2018
BVBS15059,VND,3 Năm,Ngân hàng Chính sách Xã hội,4000000,Định kỳ - Cuối kỳ,Standard Coupon,6.4,5 ngày,Hủy niêm yết,100000,3.002739726,22,12,2015,22,12,2018
BVBS15060,VND,3 Năm,Ngân hàng Chính sách Xã hội,2000000,Định kỳ - Cuối kỳ,Standard Coupon,6.3,5 ngày,Hủy niêm yết,100000,3.002739726,29,12,2015,29,12,2018
BVBS15061,VND,5 Năm,Ngân hàng Chính sách Xã hội,4000000,Định kỳ - Cuối kỳ,Standard Coupon,6.5,6 ngày,Hủy niêm yết,100000,5.002739726,19,1,2015,19,1,2020
BVBS15062,VND,5 Năm,Ngân hàng Chính sách Xã hội,4750000,Định kỳ - Cuối kỳ,Standard Coupon,6.3,12 ngày,Hủy niêm yết,100000,5.002739726,28,1,2015,28,1,2020
